trial_num, generator, number
1, Weak Random, 2
1, Pseudo Random, 3
1, True Random, 6
1, Quantum Random, undefined
2, Weak Random, 5
2, Pseudo Random, 7
2, True Random, 5
2, Quantum Random, undefined
3, Weak Random, 5
3, Pseudo Random, 2
3, True Random, 5
3, Quantum Random, undefined
4, Weak Random, 4
4, Pseudo Random, 1
4, True Random, 5
4, Quantum Random, undefined
5, Weak Random, 9
5, Pseudo Random, 3
5, True Random, 4
5, Quantum Random, undefined
6, Weak Random, 2
6, Pseudo Random, 7
6, True Random, 10
6, Quantum Random, undefined
7, Weak Random, 2
7, Pseudo Random, 1
7, True Random, 6
7, Quantum Random, undefined
8, Weak Random, 8
8, Pseudo Random, 4
8, True Random, 10
8, Quantum Random, undefined
9, Weak Random, 3
9, Pseudo Random, 7
9, True Random, 9
9, Quantum Random, undefined
10, Weak Random, 1
10, Pseudo Random, 9
10, True Random, 9
10, Quantum Random, undefined
