generator, trial number, number
Weak, 1, 5
Pseudo, 1, 1
True, 1, 5
Quantum, 1, 9
Weak, 2, 7
Pseudo, 2, 2
True, 2, 9
Quantum, 2, 4
Weak, 3, 8
Pseudo, 3, 1
True, 3, 7
Quantum, 3, 3
Weak, 4, 9
Pseudo, 4, 9
True, 4, 9
Quantum, 4, 3
Weak, 5, 4
Pseudo, 5, 3
True, 5, 9
Quantum, 5, 1
Weak, 6, 9
Pseudo, 6, 8
True, 6, 1
Quantum, 6, 7
Weak, 7, 4
Pseudo, 7, 9
True, 7, 10
Quantum, 7, 9
Weak, 8, 6
Pseudo, 8, 6
True, 8, 10
Quantum, 8, 6
Weak, 9, 2
Pseudo, 9, 3
True, 9, 9
Quantum, 9, 5
Weak, 10, 8
Pseudo, 10, 1
True, 10, 10
Quantum, 10, 7
