generator, trial number, number
Weak, 1, 6
Pseudo, 1, 1
True, 1, 2
Quantum, 1, 6
Weak, 2, 9
Pseudo, 2, 8
True, 2, 9
Quantum, 2, 6
Weak, 3, 4
Pseudo, 3, 7
True, 3, 3
Quantum, 3, 6
Weak, 4, 4
Pseudo, 4, 7
True, 4, 7
Quantum, 4, 2
Weak, 5, 5
Pseudo, 5, 8
True, 5, 9
Quantum, 5, 10
Weak, 6, 4
Pseudo, 6, 8
True, 6, 5
Quantum, 6, 2
Weak, 7, 7
Pseudo, 7, 7
True, 7, 3
Quantum, 7, 9
Weak, 8, 4
Pseudo, 8, 4
True, 8, 9
Quantum, 8, 6
Weak, 9, 4
Pseudo, 9, 9
True, 9, 7
Quantum, 9, 9
Weak, 10, 3
Pseudo, 10, 3
True, 10, 1
Quantum, 10, 5
