generator, trial number, number
Weak, 1, 6
Pseudo, 1, 4
True, 1, 4
Quantum, 1, 5
Weak, 2, 2
Pseudo, 2, 5
True, 2, 6
Quantum, 2, 5
Weak, 3, 8
Pseudo, 3, 5
True, 3, 4
Quantum, 3, 6
Weak, 4, 2
Pseudo, 4, 2
True, 4, 7
Quantum, 4, 6
Weak, 5, 3
Pseudo, 5, 9
True, 5, 3
Quantum, 5, 5
Weak, 6, 10
Pseudo, 6, 9
True, 6, 8
Quantum, 6, 5
Weak, 7, 9
Pseudo, 7, 9
True, 7, 5
Quantum, 7, 7
Weak, 8, 6
Pseudo, 8, 9
True, 8, 7
Quantum, 8, 9
Weak, 9, 3
Pseudo, 9, 7
True, 9, 8
Quantum, 9, 10
Weak, 10, 5
Pseudo, 10, 1
True, 10, 4
Quantum, 10, 1
