generator, trial number, number
Weak, 1, 2
Pseudo, 1, 8
True, 1, 4
Quantum, 1, 9
Weak, 2, 8
Pseudo, 2, 5
True, 2, 9
Quantum, 2, 2
Weak, 3, 2
Pseudo, 3, 7
True, 3, 6
Quantum, 3, 9
Weak, 4, 7
Pseudo, 4, 2
True, 4, 2
Quantum, 4, 6
Weak, 5, 3
Pseudo, 5, 2
True, 5, 10
Quantum, 5, 4
Weak, 6, 6
Pseudo, 6, 3
True, 6, 4
Quantum, 6, 10
Weak, 7, 7
Pseudo, 7, 2
True, 7, 3
Quantum, 7, 6
Weak, 8, 4
Pseudo, 8, 2
True, 8, 3
Quantum, 8, 2
Weak, 9, 3
Pseudo, 9, 8
True, 9, 6
Quantum, 9, 9
Weak, 10, 6
Pseudo, 10, 5
True, 10, 9
Quantum, 10, 1
