generator, trial number, number
Weak, 1, 5
Pseudo, 1, 4
True, 1, 5
Quantum, 1, 6
Weak, 2, 5
Pseudo, 2, 9
True, 2, 4
Quantum, 2, 8
Weak, 3, 7
Pseudo, 3, 6
True, 3, 3
Quantum, 3, 7
Weak, 4, 5
Pseudo, 4, 5
True, 4, 8
Quantum, 4, 5
Weak, 5, 6
Pseudo, 5, 7
True, 5, 2
Quantum, 5, 2
Weak, 6, 6
Pseudo, 6, 7
True, 6, 6
Quantum, 6, 6
Weak, 7, 7
Pseudo, 7, 2
True, 7, 5
Quantum, 7, 10
Weak, 8, 4
Pseudo, 8, 4
True, 8, 5
Quantum, 8, 5
Weak, 9, 6
Pseudo, 9, 1
True, 9, 8
Quantum, 9, 3
Weak, 10, 7
Pseudo, 10, 4
True, 10, 8
Quantum, 10, 6
