generator, trial number, number
Weak, 1, 7
Pseudo, 1, 9
True, 1, 1
Quantum, 1, 2
Weak, 2, 6
Pseudo, 2, 7
True, 2, 8
Quantum, 2, 2
Weak, 3, 2
Pseudo, 3, 4
True, 3, 10
Quantum, 3, 5
Weak, 4, 4
Pseudo, 4, 9
True, 4, 1
Quantum, 4, 9
Weak, 5, 5
Pseudo, 5, 8
True, 5, 6
Quantum, 5, 4
Weak, 6, 7
Pseudo, 6, 9
True, 6, 7
Quantum, 6, 6
Weak, 7, 1
Pseudo, 7, 4
True, 7, 7
Quantum, 7, 8
Weak, 8, 6
Pseudo, 8, 3
True, 8, 10
Quantum, 8, 7
Weak, 9, 5
Pseudo, 9, 8
True, 9, 6
Quantum, 9, 8
Weak, 10, 8
Pseudo, 10, 2
True, 10, 6
Quantum, 10, 1
