generator, trial number, number
Weak, 1, 8
Pseudo, 1, 8
True, 1, 8
Quantum, 1, 6
Weak, 2, 5
Pseudo, 2, 3
True, 2, 8
Quantum, 2, 2
Weak, 3, 8
Pseudo, 3, 4
True, 3, 9
Quantum, 3, 1
Weak, 4, 5
Pseudo, 4, 6
True, 4, 4
Quantum, 4, 8
Weak, 5, 10
Pseudo, 5, 7
True, 5, 2
Quantum, 5, 3
Weak, 6, 2
Pseudo, 6, 8
True, 6, 2
Quantum, 6, 5
Weak, 7, 4
Pseudo, 7, 1
True, 7, 6
Quantum, 7, 8
Weak, 8, 7
Pseudo, 8, 4
True, 8, 7
Quantum, 8, 1
Weak, 9, 3
Pseudo, 9, 5
True, 9, 2
Quantum, 9, 1
Weak, 10, 5
Pseudo, 10, 6
True, 10, 4
Quantum, 10, 5
