generator, trial number, number
Weak, 1, 7
Pseudo, 1, 5
True, 1, 3
Quantum, 1, 2
Weak, 2, 8
Pseudo, 2, 1
True, 2, 2
Quantum, 2, 4
Weak, 3, 6
Pseudo, 3, 3
True, 3, 8
Quantum, 3, 2
Weak, 4, 2
Pseudo, 4, 5
True, 4, 10
Quantum, 4, 8
Weak, 5, 10
Pseudo, 5, 6
True, 5, 4
Quantum, 5, 3
Weak, 6, 7
Pseudo, 6, 7
True, 6, 9
Quantum, 6, 7
Weak, 7, 4
Pseudo, 7, 1
True, 7, 7
Quantum, 7, 8
Weak, 8, 5
Pseudo, 8, 3
True, 8, 9
Quantum, 8, 8
Weak, 9, 3
Pseudo, 9, 7
True, 9, 7
Quantum, 9, 3
Weak, 10, 3
Pseudo, 10, 1
True, 10, 5
Quantum, 10, 3
