generator, trial number, number
Weak, 1, 8
Pseudo, 1, 1
True, 1, 1
Quantum, 1, 3
Weak, 2, 1
Pseudo, 2, 7
True, 2, 8
Quantum, 2, 4
Weak, 3, 8
Pseudo, 3, 6
True, 3, 4
Quantum, 3, 7
Weak, 4, 1
Pseudo, 4, 2
True, 4, 3
Quantum, 4, 10
Weak, 5, 5
Pseudo, 5, 1
True, 5, 6
Quantum, 5, 2
Weak, 6, 5
Pseudo, 6, 5
True, 6, 7
Quantum, 6, 10
Weak, 7, 10
Pseudo, 7, 7
True, 7, 4
Quantum, 7, 1
Weak, 8, 8
Pseudo, 8, 3
True, 8, 7
Quantum, 8, 9
Weak, 9, 6
Pseudo, 9, 4
True, 9, 4
Quantum, 9, 7
Weak, 10, 2
Pseudo, 10, 6
True, 10, 8
Quantum, 10, 6
