generator, trial number, number
Weak, 1, 8
Pseudo, 1, 7
True, 1, 6
Quantum, 1, 2
Weak, 2, 6
Pseudo, 2, 6
True, 2, 10
Quantum, 2, 9
Weak, 3, 9
Pseudo, 3, 5
True, 3, 2
Quantum, 3, 1
Weak, 4, 4
Pseudo, 4, 3
True, 4, 7
Quantum, 4, 2
Weak, 5, 10
Pseudo, 5, 8
True, 5, 2
Quantum, 5, 3
Weak, 6, 8
Pseudo, 6, 6
True, 6, 6
Quantum, 6, 5
Weak, 7, 9
Pseudo, 7, 4
True, 7, 2
Quantum, 7, 6
Weak, 8, 9
Pseudo, 8, 4
True, 8, 3
Quantum, 8, 7
Weak, 9, 2
Pseudo, 9, 6
True, 9, 3
Quantum, 9, 5
Weak, 10, 10
Pseudo, 10, 7
True, 10, 10
Quantum, 10, 6
