generator, trial number, number
Weak, 1, 6
Pseudo, 1, 5
True, 1, 6
Quantum, 1, 6
Weak, 2, 2
Pseudo, 2, 6
True, 2, 9
Quantum, 2, 3
Weak, 3, 4
Pseudo, 3, 6
True, 3, 10
Quantum, 3, 6
Weak, 4, 2
Pseudo, 4, 2
True, 4, 9
Quantum, 4, 10
Weak, 5, 8
Pseudo, 5, 2
True, 5, 10
Quantum, 5, 7
Weak, 6, 9
Pseudo, 6, 7
True, 6, 10
Quantum, 6, 10
Weak, 7, 2
Pseudo, 7, 7
True, 7, 5
Quantum, 7, 7
Weak, 8, 2
Pseudo, 8, 1
True, 8, 9
Quantum, 8, 4
Weak, 9, 8
Pseudo, 9, 8
True, 9, 1
Quantum, 9, 9
Weak, 10, 2
Pseudo, 10, 1
True, 10, 1
Quantum, 10, 1
