generator, trial number, number
Weak, 1, 2
Pseudo, 1, 3
True, 1, 1
Quantum, 1, 9
Weak, 2, 3
Pseudo, 2, 2
True, 2, 2
Quantum, 2, 10
Weak, 3, 2
Pseudo, 3, 2
True, 3, 9
Quantum, 3, 2
Weak, 4, 6
Pseudo, 4, 6
True, 4, 7
Quantum, 4, 4
Weak, 5, 3
Pseudo, 5, 6
True, 5, 4
Quantum, 5, 2
Weak, 6, 7
Pseudo, 6, 2
True, 6, 5
Quantum, 6, 8
Weak, 7, 7
Pseudo, 7, 2
True, 7, 8
Quantum, 7, 10
Weak, 8, 4
Pseudo, 8, 4
True, 8, 5
Quantum, 8, 5
Weak, 9, 2
Pseudo, 9, 1
True, 9, 10
Quantum, 9, 5
Weak, 10, 4
Pseudo, 10, 9
True, 10, 2
Quantum, 10, 5
