generator, trial number, number
Weak, 1, 7
Pseudo, 1, 3
True, 1, 5
Quantum, 1, 1
Weak, 2, 9
Pseudo, 2, 1
True, 2, 3
Quantum, 2, 4
Weak, 3, 8
Pseudo, 3, 9
True, 3, 5
Quantum, 3, 1
Weak, 4, 4
Pseudo, 4, 8
True, 4, 7
Quantum, 4, 3
Weak, 5, 4
Pseudo, 5, 4
True, 5, 9
Quantum, 5, 6
Weak, 6, 7
Pseudo, 6, 3
True, 6, 4
Quantum, 6, 5
Weak, 7, 6
Pseudo, 7, 9
True, 7, 7
Quantum, 7, 2
Weak, 8, 10
Pseudo, 8, 4
True, 8, 2
Quantum, 8, 6
Weak, 9, 4
Pseudo, 9, 8
True, 9, 1
Quantum, 9, 2
Weak, 10, 4
Pseudo, 10, 8
True, 10, 5
Quantum, 10, 7
