generator, trial number, number
Weak, 1, 7
Pseudo, 1, 7
True, 1, 6
Quantum, 1, 6
Weak, 2, 4
Pseudo, 2, 3
True, 2, 8
Quantum, 2, 5
Weak, 3, 7
Pseudo, 3, 8
True, 3, 10
Quantum, 3, 5
Weak, 4, 2
Pseudo, 4, 9
True, 4, 10
Quantum, 4, 1
Weak, 5, 4
Pseudo, 5, 4
True, 5, 7
Quantum, 5, 5
Weak, 6, 4
Pseudo, 6, 3
True, 6, 1
Quantum, 6, 10
Weak, 7, 3
Pseudo, 7, 9
True, 7, 10
Quantum, 7, 3
Weak, 8, 8
Pseudo, 8, 2
True, 8, 7
Quantum, 8, 10
Weak, 9, 2
Pseudo, 9, 1
True, 9, 9
Quantum, 9, 2
Weak, 10, 1
Pseudo, 10, 6
True, 10, 5
Quantum, 10, 5
