generator, trial number, number
Weak, 1, 9
Pseudo, 1, 6
True, 1, 4
Quantum, 1, 2
Weak, 2, 9
Pseudo, 2, 2
True, 2, 2
Quantum, 2, 3
Weak, 3, 1
Pseudo, 3, 6
True, 3, 10
Quantum, 3, 3
Weak, 4, 9
Pseudo, 4, 3
True, 4, 10
Quantum, 4, 8
Weak, 5, 4
Pseudo, 5, 7
True, 5, 10
Quantum, 5, 4
Weak, 6, 3
Pseudo, 6, 7
True, 6, 10
Quantum, 6, 7
Weak, 7, 5
Pseudo, 7, 5
True, 7, 7
Quantum, 7, 5
Weak, 8, 1
Pseudo, 8, 6
True, 8, 7
Quantum, 8, 4
Weak, 9, 10
Pseudo, 9, 5
True, 9, 8
Quantum, 9, 8
Weak, 10, 7
Pseudo, 10, 9
True, 10, 2
Quantum, 10, 10
