generator, trial number, number
Weak, 1, 6
Pseudo, 1, 8
True, 1, 5
Quantum, 1, 2
Weak, 2, 4
Pseudo, 2, 6
True, 2, 8
Quantum, 2, 7
Weak, 3, 9
Pseudo, 3, 8
True, 3, 8
Quantum, 3, 7
Weak, 4, 2
Pseudo, 4, 4
True, 4, 5
Quantum, 4, 7
Weak, 5, 4
Pseudo, 5, 8
True, 5, 5
Quantum, 5, 4
Weak, 6, 6
Pseudo, 6, 7
True, 6, 10
Quantum, 6, 10
Weak, 7, 1
Pseudo, 7, 9
True, 7, 7
Quantum, 7, 10
Weak, 8, 9
Pseudo, 8, 8
True, 8, 3
Quantum, 8, 1
Weak, 9, 4
Pseudo, 9, 5
True, 9, 9
Quantum, 9, 6
Weak, 10, 2
Pseudo, 10, 8
True, 10, 1
Quantum, 10, 4
