generator, trial number, number
Weak, 1, 5
Pseudo, 1, 7
True, 1, 6
Quantum, 1, 2
Weak, 2, 1
Pseudo, 2, 6
True, 2, 9
Quantum, 2, 5
Weak, 3, 3
Pseudo, 3, 7
True, 3, 2
Quantum, 3, 6
Weak, 4, 3
Pseudo, 4, 4
True, 4, 2
Quantum, 4, 9
Weak, 5, 8
Pseudo, 5, 4
True, 5, 4
Quantum, 5, 10
Weak, 6, 9
Pseudo, 6, 8
True, 6, 4
Quantum, 6, 1
Weak, 7, 3
Pseudo, 7, 2
True, 7, 9
Quantum, 7, 1
Weak, 8, 7
Pseudo, 8, 6
True, 8, 3
Quantum, 8, 4
Weak, 9, 8
Pseudo, 9, 3
True, 9, 3
Quantum, 9, 2
Weak, 10, 7
Pseudo, 10, 6
True, 10, 9
Quantum, 10, 3
