generator, trial number, number
Weak, 1, 7
Pseudo, 1, 3
True, 1, 8
Quantum, 1, 1
Weak, 2, 8
Pseudo, 2, 4
True, 2, 4
Quantum, 2, 3
Weak, 3, 3
Pseudo, 3, 1
True, 3, 1
Quantum, 3, 6
Weak, 4, 2
Pseudo, 4, 5
True, 4, 7
Quantum, 4, 6
Weak, 5, 7
Pseudo, 5, 8
True, 5, 2
Quantum, 5, 8
Weak, 6, 4
Pseudo, 6, 5
True, 6, 3
Quantum, 6, 4
Weak, 7, 7
Pseudo, 7, 1
True, 7, 9
Quantum, 7, 4
Weak, 8, 8
Pseudo, 8, 6
True, 8, 8
Quantum, 8, 3
Weak, 9, 7
Pseudo, 9, 5
True, 9, 4
Quantum, 9, 3
Weak, 10, 4
Pseudo, 10, 7
True, 10, 5
Quantum, 10, 2
