generator, trial number, number
Weak, 1, 5
Pseudo, 1, 6
True, 1, 4
Quantum, 1, 6
Weak, 2, 4
Pseudo, 2, 8
True, 2, 5
Quantum, 2, 4
Weak, 3, 2
Pseudo, 3, 1
True, 3, 6
Quantum, 3, 2
Weak, 4, 9
Pseudo, 4, 6
True, 4, 4
Quantum, 4, 1
Weak, 5, 2
Pseudo, 5, 2
True, 5, 2
Quantum, 5, 6
Weak, 6, 7
Pseudo, 6, 8
True, 6, 10
Quantum, 6, 3
Weak, 7, 2
Pseudo, 7, 9
True, 7, 8
Quantum, 7, 8
Weak, 8, 7
Pseudo, 8, 8
True, 8, 5
Quantum, 8, 3
Weak, 9, 9
Pseudo, 9, 1
True, 9, 1
Quantum, 9, 3
Weak, 10, 9
Pseudo, 10, 5
True, 10, 6
Quantum, 10, 9
