generator, trial number, number
Weak, 1, 8
Pseudo, 1, 4
True, 1, 4
Quantum, 1, 8
Weak, 2, 2
Pseudo, 2, 9
True, 2, 2
Quantum, 2, 3
Weak, 3, 8
Pseudo, 3, 1
True, 3, 1
Quantum, 3, 3
Weak, 4, 10
Pseudo, 4, 9
True, 4, 4
Quantum, 4, 4
Weak, 5, 9
Pseudo, 5, 2
True, 5, 10
Quantum, 5, 4
Weak, 6, 10
Pseudo, 6, 8
True, 6, 10
Quantum, 6, 2
Weak, 7, 2
Pseudo, 7, 9
True, 7, 9
Quantum, 7, 6
Weak, 8, 3
Pseudo, 8, 8
True, 8, 2
Quantum, 8, 3
Weak, 9, 6
Pseudo, 9, 9
True, 9, 2
Quantum, 9, 8
Weak, 10, 5
Pseudo, 10, 9
True, 10, 7
Quantum, 10, 3
