generator, trial number, number
Weak, 1, 6
Pseudo, 1, 2
True, 1, 4
Quantum, 1, 5
Weak, 2, 2
Pseudo, 2, 8
True, 2, 4
Quantum, 2, 1
Weak, 3, 1
Pseudo, 3, 1
True, 3, 4
Quantum, 3, 1
Weak, 4, 8
Pseudo, 4, 1
True, 4, 1
Quantum, 4, 7
Weak, 5, 5
Pseudo, 5, 9
True, 5, 9
Quantum, 5, 3
Weak, 6, 8
Pseudo, 6, 1
True, 6, 6
Quantum, 6, 7
Weak, 7, 3
Pseudo, 7, 1
True, 7, 4
Quantum, 7, 6
Weak, 8, 10
Pseudo, 8, 4
True, 8, 7
Quantum, 8, 6
Weak, 9, 9
Pseudo, 9, 1
True, 9, 6
Quantum, 9, 10
Weak, 10, 2
Pseudo, 10, 3
True, 10, 9
Quantum, 10, 3
