generator, trial number, number
Weak, 1, 6
Pseudo, 1, 1
True, 1, 2
Quantum, 1, 5
Weak, 2, 3
Pseudo, 2, 8
True, 2, 7
Quantum, 2, 8
Weak, 3, 4
Pseudo, 3, 8
True, 3, 8
Quantum, 3, 10
Weak, 4, 10
Pseudo, 4, 7
True, 4, 2
Quantum, 4, 5
Weak, 5, 1
Pseudo, 5, 6
True, 5, 4
Quantum, 5, 10
Weak, 6, 6
Pseudo, 6, 1
True, 6, 3
Quantum, 6, 2
Weak, 7, 9
Pseudo, 7, 8
True, 7, 2
Quantum, 7, 7
Weak, 8, 8
Pseudo, 8, 7
True, 8, 9
Quantum, 8, 1
Weak, 9, 7
Pseudo, 9, 4
True, 9, 1
Quantum, 9, 5
Weak, 10, 3
Pseudo, 10, 9
True, 10, 8
Quantum, 10, 3
