generator, trial number, number
Weak, 1, 7
Pseudo, 1, 9
True, 1, 5
Quantum, 1, 7
Weak, 2, 4
Pseudo, 2, 7
True, 2, 1
Quantum, 2, 6
Weak, 3, 10
Pseudo, 3, 8
True, 3, 8
Quantum, 3, 4
Weak, 4, 3
Pseudo, 4, 6
True, 4, 6
Quantum, 4, 6
Weak, 5, 8
Pseudo, 5, 6
True, 5, 9
Quantum, 5, 10
Weak, 6, 7
Pseudo, 6, 8
True, 6, 7
Quantum, 6, 4
Weak, 7, 9
Pseudo, 7, 8
True, 7, 3
Quantum, 7, 1
Weak, 8, 6
Pseudo, 8, 9
True, 8, 1
Quantum, 8, 4
Weak, 9, 2
Pseudo, 9, 8
True, 9, 6
Quantum, 9, 9
Weak, 10, 9
Pseudo, 10, 5
True, 10, 7
Quantum, 10, 4
