generator, trial number, number
Weak, 1, 8
Pseudo, 1, 6
True, 1, 3
Quantum, 1, 4
Weak, 2, 6
Pseudo, 2, 4
True, 2, 10
Quantum, 2, 9
Weak, 3, 10
Pseudo, 3, 2
True, 3, 4
Quantum, 3, 5
Weak, 4, 9
Pseudo, 4, 1
True, 4, 2
Quantum, 4, 4
Weak, 5, 2
Pseudo, 5, 5
True, 5, 1
Quantum, 5, 10
Weak, 6, 2
Pseudo, 6, 8
True, 6, 7
Quantum, 6, 4
Weak, 7, 10
Pseudo, 7, 8
True, 7, 9
Quantum, 7, 3
Weak, 8, 8
Pseudo, 8, 6
True, 8, 1
Quantum, 8, 7
Weak, 9, 3
Pseudo, 9, 6
True, 9, 4
Quantum, 9, 4
Weak, 10, 2
Pseudo, 10, 5
True, 10, 2
Quantum, 10, 10
