generator, trial number, number
Weak, 1, 7
Pseudo, 1, 3
True, 1, 5
Quantum, 1, 7
Weak, 2, 7
Pseudo, 2, 2
True, 2, 10
Quantum, 2, 6
Weak, 3, 3
Pseudo, 3, 8
True, 3, 2
Quantum, 3, 4
Weak, 4, 5
Pseudo, 4, 5
True, 4, 7
Quantum, 4, 8
Weak, 5, 1
Pseudo, 5, 8
True, 5, 3
Quantum, 5, 8
Weak, 6, 9
Pseudo, 6, 9
True, 6, 6
Quantum, 6, 2
Weak, 7, 7
Pseudo, 7, 7
True, 7, 6
Quantum, 7, 10
Weak, 8, 9
Pseudo, 8, 9
True, 8, 10
Quantum, 8, 7
Weak, 9, 3
Pseudo, 9, 1
True, 9, 5
Quantum, 9, 9
Weak, 10, 7
Pseudo, 10, 2
True, 10, 9
Quantum, 10, 3
