generator, trial number, number
Weak, 1, 7
Pseudo, 1, 8
True, 1, 3
Quantum, 1, 1
Weak, 2, 9
Pseudo, 2, 1
True, 2, 4
Quantum, 2, 7
Weak, 3, 9
Pseudo, 3, 1
True, 3, 2
Quantum, 3, 9
Weak, 4, 9
Pseudo, 4, 6
True, 4, 5
Quantum, 4, 2
Weak, 5, 9
Pseudo, 5, 2
True, 5, 6
Quantum, 5, 1
Weak, 6, 8
Pseudo, 6, 6
True, 6, 3
Quantum, 6, 8
Weak, 7, 2
Pseudo, 7, 2
True, 7, 2
Quantum, 7, 3
Weak, 8, 9
Pseudo, 8, 9
True, 8, 6
Quantum, 8, 7
Weak, 9, 4
Pseudo, 9, 8
True, 9, 9
Quantum, 9, 9
Weak, 10, 3
Pseudo, 10, 7
True, 10, 9
Quantum, 10, 6
