generator, trial number, number
Weak, 1, 7
Pseudo, 1, 8
True, 1, 9
Quantum, 1, 3
Weak, 2, 10
Pseudo, 2, 1
True, 2, 1
Quantum, 2, 10
Weak, 3, 5
Pseudo, 3, 1
True, 3, 3
Quantum, 3, 4
Weak, 4, 7
Pseudo, 4, 4
True, 4, 5
Quantum, 4, 1
Weak, 5, 2
Pseudo, 5, 8
True, 5, 6
Quantum, 5, 1
Weak, 6, 5
Pseudo, 6, 4
True, 6, 2
Quantum, 6, 6
Weak, 7, 3
Pseudo, 7, 7
True, 7, 3
Quantum, 7, 9
Weak, 8, 6
Pseudo, 8, 5
True, 8, 6
Quantum, 8, 4
Weak, 9, 2
Pseudo, 9, 6
True, 9, 5
Quantum, 9, 1
Weak, 10, 9
Pseudo, 10, 9
True, 10, 5
Quantum, 10, 10
