generator, trial number, number
Weak, 1, 8
Pseudo, 1, 1
True, 1, 6
Quantum, 1, 8
Weak, 2, 5
Pseudo, 2, 8
True, 2, 9
Quantum, 2, 9
Weak, 3, 4
Pseudo, 3, 7
True, 3, 1
Quantum, 3, 8
Weak, 4, 8
Pseudo, 4, 3
True, 4, 6
Quantum, 4, 9
Weak, 5, 9
Pseudo, 5, 6
True, 5, 6
Quantum, 5, 6
Weak, 6, 2
Pseudo, 6, 2
True, 6, 10
Quantum, 6, 9
Weak, 7, 8
Pseudo, 7, 6
True, 7, 4
Quantum, 7, 7
Weak, 8, 3
Pseudo, 8, 4
True, 8, 4
Quantum, 8, 7
Weak, 9, 6
Pseudo, 9, 8
True, 9, 10
Quantum, 9, 6
Weak, 10, 1
Pseudo, 10, 5
True, 10, 9
Quantum, 10, 9
