generator, trial number, number
Weak, 1, 5
Pseudo, 1, 8
True, 1, 1
Quantum, 1, 4
Weak, 2, 5
Pseudo, 2, 1
True, 2, 7
Quantum, 2, 5
Weak, 3, 9
Pseudo, 3, 8
True, 3, 8
Quantum, 3, 4
Weak, 4, 6
Pseudo, 4, 6
True, 4, 4
Quantum, 4, 4
Weak, 5, 2
Pseudo, 5, 9
True, 5, 7
Quantum, 5, 10
Weak, 6, 4
Pseudo, 6, 6
True, 6, 10
Quantum, 6, 10
Weak, 7, 9
Pseudo, 7, 6
True, 7, 9
Quantum, 7, 6
Weak, 8, 8
Pseudo, 8, 1
True, 8, 6
Quantum, 8, 2
Weak, 9, 9
Pseudo, 9, 3
True, 9, 9
Quantum, 9, 10
Weak, 10, 8
Pseudo, 10, 6
True, 10, 6
Quantum, 10, 9
