generator, trial number, number
Weak, 1, 4
Pseudo, 1, 9
True, 1, 10
Quantum, 1, 5
Weak, 2, 8
Pseudo, 2, 3
True, 2, 6
Quantum, 2, 8
Weak, 3, 2
Pseudo, 3, 9
True, 3, 9
Quantum, 3, 7
Weak, 4, 1
Pseudo, 4, 6
True, 4, 10
Quantum, 4, 7
Weak, 5, 5
Pseudo, 5, 4
True, 5, 8
Quantum, 5, 4
Weak, 6, 4
Pseudo, 6, 1
True, 6, 6
Quantum, 6, 3
Weak, 7, 8
Pseudo, 7, 5
True, 7, 10
Quantum, 7, 3
Weak, 8, 10
Pseudo, 8, 3
True, 8, 6
Quantum, 8, 3
Weak, 9, 3
Pseudo, 9, 7
True, 9, 4
Quantum, 9, 5
Weak, 10, 3
Pseudo, 10, 3
True, 10, 6
Quantum, 10, 8
