generator, trial number, number
Weak, 1, 5
Pseudo, 1, 3
True, 1, 4
Quantum, 1, 5
Weak, 2, 6
Pseudo, 2, 3
True, 2, 9
Quantum, 2, 2
Weak, 3, 9
Pseudo, 3, 5
True, 3, 5
Quantum, 3, 4
Weak, 4, 1
Pseudo, 4, 6
True, 4, 9
Quantum, 4, 4
Weak, 5, 3
Pseudo, 5, 5
True, 5, 3
Quantum, 5, 9
Weak, 6, 3
Pseudo, 6, 3
True, 6, 7
Quantum, 6, 3
Weak, 7, 1
Pseudo, 7, 1
True, 7, 5
Quantum, 7, 9
Weak, 8, 2
Pseudo, 8, 9
True, 8, 5
Quantum, 8, 7
Weak, 9, 6
Pseudo, 9, 8
True, 9, 8
Quantum, 9, 4
Weak, 10, 6
Pseudo, 10, 3
True, 10, 2
Quantum, 10, 7
