generator, trial number, number
Weak, 1, 9
Pseudo, 1, 9
True, 1, 2
Quantum, 1, 8
Weak, 2, 1
Pseudo, 2, 1
True, 2, 8
Quantum, 2, 8
Weak, 3, 6
Pseudo, 3, 6
True, 3, 4
Quantum, 3, 6
Weak, 4, 1
Pseudo, 4, 2
True, 4, 6
Quantum, 4, 2
Weak, 5, 8
Pseudo, 5, 7
True, 5, 2
Quantum, 5, 7
Weak, 6, 2
Pseudo, 6, 5
True, 6, 4
Quantum, 6, 9
Weak, 7, 3
Pseudo, 7, 6
True, 7, 6
Quantum, 7, 5
Weak, 8, 8
Pseudo, 8, 6
True, 8, 6
Quantum, 8, 1
Weak, 9, 2
Pseudo, 9, 3
True, 9, 3
Quantum, 9, 5
Weak, 10, 1
Pseudo, 10, 2
True, 10, 4
Quantum, 10, 3
