generator, trial number, number
Weak, 1, 2
Pseudo, 1, 8
True, 1, 2
Quantum, 1, 8
Weak, 2, 6
Pseudo, 2, 9
True, 2, 3
Quantum, 2, 6
Weak, 3, 2
Pseudo, 3, 1
True, 3, 5
Quantum, 3, 6
Weak, 4, 5
Pseudo, 4, 6
True, 4, 5
Quantum, 4, 6
Weak, 5, 4
Pseudo, 5, 5
True, 5, 8
Quantum, 5, 5
Weak, 6, 3
Pseudo, 6, 7
True, 6, 4
Quantum, 6, 1
Weak, 7, 7
Pseudo, 7, 8
True, 7, 1
Quantum, 7, 5
Weak, 8, 4
Pseudo, 8, 8
True, 8, 8
Quantum, 8, 2
Weak, 9, 10
Pseudo, 9, 1
True, 9, 9
Quantum, 9, 10
Weak, 10, 5
Pseudo, 10, 6
True, 10, 9
Quantum, 10, 7
