generator, trial number, number
Weak, 1, 4
Pseudo, 1, 4
True, 1, 5
Quantum, 1, 1
Weak, 2, 4
Pseudo, 2, 8
True, 2, 8
Quantum, 2, 10
Weak, 3, 7
Pseudo, 3, 9
True, 3, 3
Quantum, 3, 8
Weak, 4, 5
Pseudo, 4, 1
True, 4, 10
Quantum, 4, 6
Weak, 5, 6
Pseudo, 5, 6
True, 5, 1
Quantum, 5, 7
Weak, 6, 3
Pseudo, 6, 7
True, 6, 1
Quantum, 6, 7
Weak, 7, 9
Pseudo, 7, 1
True, 7, 6
Quantum, 7, 4
Weak, 8, 7
Pseudo, 8, 6
True, 8, 1
Quantum, 8, 9
Weak, 9, 7
Pseudo, 9, 4
True, 9, 1
Quantum, 9, 8
Weak, 10, 7
Pseudo, 10, 2
True, 10, 2
Quantum, 10, 8
