generator, trial number, number
Weak, 1, 7
Pseudo, 1, 8
True, 1, 3
Quantum, 1, 1
Weak, 2, 3
Pseudo, 2, 9
True, 2, 2
Quantum, 2, 10
Weak, 3, 7
Pseudo, 3, 5
True, 3, 4
Quantum, 3, 10
Weak, 4, 7
Pseudo, 4, 4
True, 4, 6
Quantum, 4, 9
Weak, 5, 9
Pseudo, 5, 4
True, 5, 5
Quantum, 5, 4
Weak, 6, 1
Pseudo, 6, 9
True, 6, 5
Quantum, 6, 3
Weak, 7, 4
Pseudo, 7, 7
True, 7, 9
Quantum, 7, 2
Weak, 8, 4
Pseudo, 8, 1
True, 8, 3
Quantum, 8, 1
Weak, 9, 6
Pseudo, 9, 5
True, 9, 7
Quantum, 9, 2
Weak, 10, 2
Pseudo, 10, 1
True, 10, 9
Quantum, 10, 4
