generator, trial number, number
Weak, 1, 5
Pseudo, 1, 9
True, 1, 4
Quantum, 1, 8
Weak, 2, 7
Pseudo, 2, 3
True, 2, 7
Quantum, 2, 9
Weak, 3, 2
Pseudo, 3, 8
True, 3, 7
Quantum, 3, 1
Weak, 4, 6
Pseudo, 4, 8
True, 4, 2
Quantum, 4, 2
Weak, 5, 5
Pseudo, 5, 7
True, 5, 5
Quantum, 5, 10
Weak, 6, 1
Pseudo, 6, 2
True, 6, 1
Quantum, 6, 10
Weak, 7, 7
Pseudo, 7, 4
True, 7, 1
Quantum, 7, 3
Weak, 8, 9
Pseudo, 8, 7
True, 8, 5
Quantum, 8, 6
Weak, 9, 9
Pseudo, 9, 2
True, 9, 2
Quantum, 9, 8
Weak, 10, 6
Pseudo, 10, 6
True, 10, 10
Quantum, 10, 4
