generator, trial number, number
Weak, 1, 8
Pseudo, 1, 7
True, 1, 3
Quantum, 1, 1
Weak, 2, 3
Pseudo, 2, 9
True, 2, 6
Quantum, 2, 6
Weak, 3, 7
Pseudo, 3, 1
True, 3, 4
Quantum, 3, 1
Weak, 4, 2
Pseudo, 4, 3
True, 4, 5
Quantum, 4, 8
Weak, 5, 7
Pseudo, 5, 6
True, 5, 3
Quantum, 5, 9
Weak, 6, 5
Pseudo, 6, 9
True, 6, 9
Quantum, 6, 7
Weak, 7, 7
Pseudo, 7, 3
True, 7, 8
Quantum, 7, 9
Weak, 8, 9
Pseudo, 8, 4
True, 8, 8
Quantum, 8, 5
Weak, 9, 6
Pseudo, 9, 5
True, 9, 10
Quantum, 9, 2
Weak, 10, 1
Pseudo, 10, 5
True, 10, 6
Quantum, 10, 8
