generator, trial number, number
Weak, 1, 7
Pseudo, 1, 5
True, 1, 5
Quantum, 1, 10
Weak, 2, 5
Pseudo, 2, 1
True, 2, 4
Quantum, 2, 2
Weak, 3, 8
Pseudo, 3, 7
True, 3, 5
Quantum, 3, 6
Weak, 4, 5
Pseudo, 4, 3
True, 4, 4
Quantum, 4, 5
Weak, 5, 2
Pseudo, 5, 5
True, 5, 2
Quantum, 5, 4
Weak, 6, 10
Pseudo, 6, 8
True, 6, 10
Quantum, 6, 7
Weak, 7, 5
Pseudo, 7, 7
True, 7, 10
Quantum, 7, 9
Weak, 8, 8
Pseudo, 8, 5
True, 8, 1
Quantum, 8, 3
Weak, 9, 9
Pseudo, 9, 3
True, 9, 1
Quantum, 9, 7
Weak, 10, 4
Pseudo, 10, 2
True, 10, 10
Quantum, 10, 5
