generator, trial number, number
Weak, 1, 5
Pseudo, 1, 2
True, 1, 3
Quantum, 1, 9
Weak, 2, 2
Pseudo, 2, 8
True, 2, 5
Quantum, 2, 6
Weak, 3, 8
Pseudo, 3, 1
True, 3, 10
Quantum, 3, 2
Weak, 4, 9
Pseudo, 4, 6
True, 4, 6
Quantum, 4, 7
Weak, 5, 4
Pseudo, 5, 2
True, 5, 6
Quantum, 5, 6
Weak, 6, 5
Pseudo, 6, 2
True, 6, 2
Quantum, 6, 7
Weak, 7, 9
Pseudo, 7, 9
True, 7, 4
Quantum, 7, 3
Weak, 8, 6
Pseudo, 8, 1
True, 8, 1
Quantum, 8, 10
Weak, 9, 10
Pseudo, 9, 1
True, 9, 8
Quantum, 9, 9
Weak, 10, 7
Pseudo, 10, 2
True, 10, 5
Quantum, 10, 4
