generator, trial number, number
Weak, 1, 7
Pseudo, 1, 5
True, 1, 3
Quantum, 1, 2
Weak, 2, 7
Pseudo, 2, 1
True, 2, 5
Quantum, 2, 3
Weak, 3, 8
Pseudo, 3, 9
True, 3, 3
Quantum, 3, 7
Weak, 4, 8
Pseudo, 4, 8
True, 4, 10
Quantum, 4, 5
Weak, 5, 7
Pseudo, 5, 5
True, 5, 3
Quantum, 5, 3
Weak, 6, 2
Pseudo, 6, 4
True, 6, 6
Quantum, 6, 6
Weak, 7, 5
Pseudo, 7, 6
True, 7, 10
Quantum, 7, 8
Weak, 8, 5
Pseudo, 8, 1
True, 8, 4
Quantum, 8, 2
Weak, 9, 8
Pseudo, 9, 2
True, 9, 3
Quantum, 9, 8
Weak, 10, 2
Pseudo, 10, 8
True, 10, 7
Quantum, 10, 6
