generator, trial number, number
Weak, 1, 2
Pseudo, 1, 5
True, 1, 1
Quantum, 1, 8
Weak, 2, 7
Pseudo, 2, 4
True, 2, 9
Quantum, 2, 1
Weak, 3, 3
Pseudo, 3, 2
True, 3, 3
Quantum, 3, 9
Weak, 4, 2
Pseudo, 4, 6
True, 4, 7
Quantum, 4, 8
Weak, 5, 6
Pseudo, 5, 6
True, 5, 9
Quantum, 5, 8
Weak, 6, 6
Pseudo, 6, 6
True, 6, 2
Quantum, 6, 3
Weak, 7, 4
Pseudo, 7, 9
True, 7, 1
Quantum, 7, 4
Weak, 8, 3
Pseudo, 8, 2
True, 8, 9
Quantum, 8, 5
Weak, 9, 3
Pseudo, 9, 3
True, 9, 6
Quantum, 9, 3
Weak, 10, 9
Pseudo, 10, 3
True, 10, 4
Quantum, 10, 10
