generator, trial number, number
Weak, 1, 8
Pseudo, 1, 7
True, 1, 8
Quantum, 1, 8
Weak, 2, 4
Pseudo, 2, 9
True, 2, 7
Quantum, 2, 1
Weak, 3, 9
Pseudo, 3, 2
True, 3, 9
Quantum, 3, 6
Weak, 4, 9
Pseudo, 4, 5
True, 4, 7
Quantum, 4, 10
Weak, 5, 6
Pseudo, 5, 9
True, 5, 9
Quantum, 5, 7
Weak, 6, 5
Pseudo, 6, 2
True, 6, 9
Quantum, 6, 5
Weak, 7, 5
Pseudo, 7, 2
True, 7, 4
Quantum, 7, 1
Weak, 8, 8
Pseudo, 8, 2
True, 8, 10
Quantum, 8, 6
Weak, 9, 4
Pseudo, 9, 4
True, 9, 1
Quantum, 9, 7
Weak, 10, 9
Pseudo, 10, 9
True, 10, 6
Quantum, 10, 6
