generator, trial number, number
Weak, 1, 2
Pseudo, 1, 7
True, 1, 5
Quantum, 1, 6
Weak, 2, 2
Pseudo, 2, 2
True, 2, 7
Quantum, 2, 10
Weak, 3, 2
Pseudo, 3, 2
True, 3, 5
Quantum, 3, 8
Weak, 4, 6
Pseudo, 4, 7
True, 4, 7
Quantum, 4, 5
Weak, 5, 4
Pseudo, 5, 2
True, 5, 4
Quantum, 5, 6
Weak, 6, 6
Pseudo, 6, 2
True, 6, 9
Quantum, 6, 10
Weak, 7, 6
Pseudo, 7, 5
True, 7, 6
Quantum, 7, 8
Weak, 8, 7
Pseudo, 8, 1
True, 8, 2
Quantum, 8, 8
Weak, 9, 4
Pseudo, 9, 5
True, 9, 6
Quantum, 9, 4
Weak, 10, 6
Pseudo, 10, 8
True, 10, 9
Quantum, 10, 7
