generator, trial number, number
Weak, 1, 3
Pseudo, 1, 8
True, 1, 7
Quantum, 1, 5
Weak, 2, 2
Pseudo, 2, 8
True, 2, 1
Quantum, 2, 5
Weak, 3, 6
Pseudo, 3, 6
True, 3, 3
Quantum, 3, 4
Weak, 4, 3
Pseudo, 4, 1
True, 4, 8
Quantum, 4, 6
Weak, 5, 2
Pseudo, 5, 5
True, 5, 10
Quantum, 5, 8
Weak, 6, 3
Pseudo, 6, 4
True, 6, 7
Quantum, 6, 6
Weak, 7, 2
Pseudo, 7, 2
True, 7, 8
Quantum, 7, 4
Weak, 8, 1
Pseudo, 8, 5
True, 8, 8
Quantum, 8, 5
Weak, 9, 7
Pseudo, 9, 1
True, 9, 10
Quantum, 9, 3
Weak, 10, 1
Pseudo, 10, 1
True, 10, 2
Quantum, 10, 4
