generator, trial number, number
Weak, 1, 5
Pseudo, 1, 5
True, 1, 9
Quantum, 1, 1
Weak, 2, 7
Pseudo, 2, 9
True, 2, 7
Quantum, 2, 3
Weak, 3, 5
Pseudo, 3, 1
True, 3, 2
Quantum, 3, 1
Weak, 4, 8
Pseudo, 4, 1
True, 4, 6
Quantum, 4, 2
Weak, 5, 6
Pseudo, 5, 4
True, 5, 4
Quantum, 5, 10
Weak, 6, 2
Pseudo, 6, 6
True, 6, 8
Quantum, 6, 3
Weak, 7, 6
Pseudo, 7, 5
True, 7, 1
Quantum, 7, 6
Weak, 8, 8
Pseudo, 8, 8
True, 8, 1
Quantum, 8, 1
Weak, 9, 10
Pseudo, 9, 5
True, 9, 5
Quantum, 9, 3
Weak, 10, 5
Pseudo, 10, 1
True, 10, 8
Quantum, 10, 7
