generator, trial number, number
Weak, 1, 9
Pseudo, 1, 9
True, 1, 10
Quantum, 1, 3
Weak, 2, 4
Pseudo, 2, 5
True, 2, 7
Quantum, 2, 9
Weak, 3, 7
Pseudo, 3, 6
True, 3, 6
Quantum, 3, 9
Weak, 4, 4
Pseudo, 4, 6
True, 4, 7
Quantum, 4, 6
Weak, 5, 6
Pseudo, 5, 1
True, 5, 1
Quantum, 5, 3
Weak, 6, 7
Pseudo, 6, 9
True, 6, 9
Quantum, 6, 6
Weak, 7, 8
Pseudo, 7, 7
True, 7, 9
Quantum, 7, 4
Weak, 8, 10
Pseudo, 8, 5
True, 8, 8
Quantum, 8, 5
Weak, 9, 4
Pseudo, 9, 4
True, 9, 7
Quantum, 9, 10
Weak, 10, 7
Pseudo, 10, 6
True, 10, 4
Quantum, 10, 7
