generator, trial number, number
Weak, 1, 9
Pseudo, 1, 8
True, 1, 1
Quantum, 1, 1
Weak, 2, 8
Pseudo, 2, 2
True, 2, 2
Quantum, 2, 4
Weak, 3, 9
Pseudo, 3, 1
True, 3, 1
Quantum, 3, 5
Weak, 4, 3
Pseudo, 4, 2
True, 4, 7
Quantum, 4, 4
Weak, 5, 6
Pseudo, 5, 2
True, 5, 3
Quantum, 5, 6
Weak, 6, 6
Pseudo, 6, 5
True, 6, 3
Quantum, 6, 10
Weak, 7, 10
Pseudo, 7, 6
True, 7, 3
Quantum, 7, 6
Weak, 8, 4
Pseudo, 8, 9
True, 8, 8
Quantum, 8, 8
Weak, 9, 2
Pseudo, 9, 4
True, 9, 3
Quantum, 9, 2
Weak, 10, 5
Pseudo, 10, 9
True, 10, 2
Quantum, 10, 10
