generator, trial number, number
Weak, 1, 1
Pseudo, 1, 3
True, 1, 10
Quantum, 1, 5
Weak, 2, 3
Pseudo, 2, 9
True, 2, 2
Quantum, 2, 3
Weak, 3, 4
Pseudo, 3, 2
True, 3, 2
Quantum, 3, 1
Weak, 4, 6
Pseudo, 4, 3
True, 4, 9
Quantum, 4, 1
Weak, 5, 7
Pseudo, 5, 2
True, 5, 3
Quantum, 5, 6
Weak, 6, 2
Pseudo, 6, 1
True, 6, 8
Quantum, 6, 2
Weak, 7, 4
Pseudo, 7, 8
True, 7, 9
Quantum, 7, 10
Weak, 8, 9
Pseudo, 8, 2
True, 8, 2
Quantum, 8, 9
Weak, 9, 6
Pseudo, 9, 5
True, 9, 9
Quantum, 9, 2
Weak, 10, 9
Pseudo, 10, 4
True, 10, 10
Quantum, 10, 6
