generator, trial number, number
Weak, 1, 10
Pseudo, 1, 8
True, 1, 10
Quantum, 1, 4
Weak, 2, 9
Pseudo, 2, 9
True, 2, 9
Quantum, 2, 6
Weak, 3, 3
Pseudo, 3, 6
True, 3, 2
Quantum, 3, 9
Weak, 4, 3
Pseudo, 4, 3
True, 4, 6
Quantum, 4, 1
Weak, 5, 2
Pseudo, 5, 2
True, 5, 4
Quantum, 5, 1
Weak, 6, 3
Pseudo, 6, 5
True, 6, 1
Quantum, 6, 4
Weak, 7, 5
Pseudo, 7, 6
True, 7, 5
Quantum, 7, 1
Weak, 8, 5
Pseudo, 8, 1
True, 8, 5
Quantum, 8, 6
Weak, 9, 3
Pseudo, 9, 3
True, 9, 2
Quantum, 9, 9
Weak, 10, 2
Pseudo, 10, 7
True, 10, 6
Quantum, 10, 9
