generator, trial number, number
Weak, 1, 9
Pseudo, 1, 9
True, 1, 3
Quantum, 1, 10
Weak, 2, 2
Pseudo, 2, 5
True, 2, 2
Quantum, 2, 9
Weak, 3, 4
Pseudo, 3, 2
True, 3, 1
Quantum, 3, 6
Weak, 4, 6
Pseudo, 4, 9
True, 4, 2
Quantum, 4, 2
Weak, 5, 4
Pseudo, 5, 7
True, 5, 5
Quantum, 5, 3
Weak, 6, 4
Pseudo, 6, 7
True, 6, 3
Quantum, 6, 6
Weak, 7, 5
Pseudo, 7, 5
True, 7, 10
Quantum, 7, 4
Weak, 8, 6
Pseudo, 8, 5
True, 8, 10
Quantum, 8, 6
Weak, 9, 5
Pseudo, 9, 7
True, 9, 3
Quantum, 9, 3
Weak, 10, 6
Pseudo, 10, 3
True, 10, 10
Quantum, 10, 1
