generator, trial number, number
Weak, 1, 6
Pseudo, 1, 3
True, 1, 3
Quantum, 1, 8
Weak, 2, 5
Pseudo, 2, 1
True, 2, 5
Quantum, 2, 10
Weak, 3, 9
Pseudo, 3, 5
True, 3, 7
Quantum, 3, 1
Weak, 4, 4
Pseudo, 4, 8
True, 4, 7
Quantum, 4, 2
Weak, 5, 7
Pseudo, 5, 2
True, 5, 10
Quantum, 5, 2
Weak, 6, 6
Pseudo, 6, 4
True, 6, 1
Quantum, 6, 6
Weak, 7, 4
Pseudo, 7, 3
True, 7, 9
Quantum, 7, 8
Weak, 8, 4
Pseudo, 8, 5
True, 8, 3
Quantum, 8, 8
Weak, 9, 4
Pseudo, 9, 9
True, 9, 9
Quantum, 9, 9
Weak, 10, 2
Pseudo, 10, 2
True, 10, 2
Quantum, 10, 3
