generator, trial number, number
Weak, 1, 6
Pseudo, 1, 1
True, 1, 3
Quantum, 1, 7
Weak, 2, 10
Pseudo, 2, 7
True, 2, 3
Quantum, 2, 6
Weak, 3, 6
Pseudo, 3, 3
True, 3, 8
Quantum, 3, 6
Weak, 4, 2
Pseudo, 4, 9
True, 4, 1
Quantum, 4, 7
Weak, 5, 8
Pseudo, 5, 8
True, 5, 9
Quantum, 5, 4
Weak, 6, 9
Pseudo, 6, 4
True, 6, 2
Quantum, 6, 9
Weak, 7, 10
Pseudo, 7, 1
True, 7, 2
Quantum, 7, 3
Weak, 8, 9
Pseudo, 8, 7
True, 8, 9
Quantum, 8, 8
Weak, 9, 9
Pseudo, 9, 4
True, 9, 1
Quantum, 9, 10
Weak, 10, 7
Pseudo, 10, 7
True, 10, 6
Quantum, 10, 4
