generator, trial number, number
Weak, 1, 9
Pseudo, 1, 9
True, 1, 7
Quantum, 1, 6
Weak, 2, 3
Pseudo, 2, 6
True, 2, 5
Quantum, 2, 5
Weak, 3, 6
Pseudo, 3, 4
True, 3, 1
Quantum, 3, 7
Weak, 4, 4
Pseudo, 4, 4
True, 4, 4
Quantum, 4, 1
Weak, 5, 9
Pseudo, 5, 3
True, 5, 5
Quantum, 5, 9
Weak, 6, 9
Pseudo, 6, 2
True, 6, 10
Quantum, 6, 1
Weak, 7, 3
Pseudo, 7, 4
True, 7, 1
Quantum, 7, 7
Weak, 8, 3
Pseudo, 8, 7
True, 8, 10
Quantum, 8, 8
Weak, 9, 3
Pseudo, 9, 8
True, 9, 10
Quantum, 9, 9
Weak, 10, 7
Pseudo, 10, 9
True, 10, 9
Quantum, 10, 4
