generator, trial number, number
Weak, 1, 6
Pseudo, 1, 7
True, 1, 1
Quantum, 1, 7
Weak, 2, 7
Pseudo, 2, 2
True, 2, 10
Quantum, 2, 5
Weak, 3, 6
Pseudo, 3, 1
True, 3, 6
Quantum, 3, 7
Weak, 4, 4
Pseudo, 4, 7
True, 4, 1
Quantum, 4, 5
Weak, 5, 4
Pseudo, 5, 2
True, 5, 4
Quantum, 5, 2
Weak, 6, 10
Pseudo, 6, 6
True, 6, 6
Quantum, 6, 7
Weak, 7, 3
Pseudo, 7, 1
True, 7, 2
Quantum, 7, 10
Weak, 8, 9
Pseudo, 8, 3
True, 8, 2
Quantum, 8, 5
Weak, 9, 1
Pseudo, 9, 3
True, 9, 9
Quantum, 9, 8
Weak, 10, 5
Pseudo, 10, 2
True, 10, 1
Quantum, 10, 10
