generator, trial number, number
Weak, 1, 2
Pseudo, 1, 2
True, 1, 1
Quantum, 1, 7
Weak, 2, 4
Pseudo, 2, 7
True, 2, 6
Quantum, 2, 4
Weak, 3, 5
Pseudo, 3, 5
True, 3, 6
Quantum, 3, 6
Weak, 4, 3
Pseudo, 4, 1
True, 4, 7
Quantum, 4, 8
Weak, 5, 4
Pseudo, 5, 5
True, 5, 4
Quantum, 5, 10
Weak, 6, 9
Pseudo, 6, 6
True, 6, 2
Quantum, 6, 7
Weak, 7, 8
Pseudo, 7, 9
True, 7, 4
Quantum, 7, 1
Weak, 8, 8
Pseudo, 8, 2
True, 8, 6
Quantum, 8, 7
Weak, 9, 3
Pseudo, 9, 5
True, 9, 4
Quantum, 9, 8
Weak, 10, 3
Pseudo, 10, 2
True, 10, 4
Quantum, 10, 2
