generator, trial number, number
Weak, 1, 4
Pseudo, 1, 2
True, 1, 8
Quantum, 1, 6
Weak, 2, 2
Pseudo, 2, 3
True, 2, 5
Quantum, 2, 9
Weak, 3, 2
Pseudo, 3, 4
True, 3, 1
Quantum, 3, 4
Weak, 4, 4
Pseudo, 4, 3
True, 4, 3
Quantum, 4, 9
Weak, 5, 5
Pseudo, 5, 6
True, 5, 5
Quantum, 5, 10
Weak, 6, 10
Pseudo, 6, 5
True, 6, 8
Quantum, 6, 4
Weak, 7, 7
Pseudo, 7, 9
True, 7, 9
Quantum, 7, 3
Weak, 8, 7
Pseudo, 8, 3
True, 8, 4
Quantum, 8, 5
Weak, 9, 9
Pseudo, 9, 7
True, 9, 7
Quantum, 9, 7
Weak, 10, 2
Pseudo, 10, 6
True, 10, 10
Quantum, 10, 9
