generator, trial number, number
Weak, 1, 4
Pseudo, 1, 2
True, 1, 10
Quantum, 1, 2
Weak, 2, 7
Pseudo, 2, 5
True, 2, 2
Quantum, 2, 3
Weak, 3, 4
Pseudo, 3, 2
True, 3, 1
Quantum, 3, 5
Weak, 4, 2
Pseudo, 4, 9
True, 4, 2
Quantum, 4, 5
Weak, 5, 5
Pseudo, 5, 2
True, 5, 6
Quantum, 5, 1
Weak, 6, 7
Pseudo, 6, 1
True, 6, 7
Quantum, 6, 5
Weak, 7, 7
Pseudo, 7, 4
True, 7, 8
Quantum, 7, 4
Weak, 8, 2
Pseudo, 8, 7
True, 8, 6
Quantum, 8, 1
Weak, 9, 9
Pseudo, 9, 4
True, 9, 9
Quantum, 9, 9
Weak, 10, 3
Pseudo, 10, 1
True, 10, 6
Quantum, 10, 2
