generator, trial number, number
Weak, 1, 6
Pseudo, 1, 6
True, 1, 1
Quantum, 1, 6
Weak, 2, 5
Pseudo, 2, 6
True, 2, 1
Quantum, 2, 7
Weak, 3, 6
Pseudo, 3, 7
True, 3, 6
Quantum, 3, 2
Weak, 4, 8
Pseudo, 4, 5
True, 4, 1
Quantum, 4, 9
Weak, 5, 9
Pseudo, 5, 8
True, 5, 6
Quantum, 5, 2
Weak, 6, 8
Pseudo, 6, 8
True, 6, 2
Quantum, 6, 10
Weak, 7, 3
Pseudo, 7, 8
True, 7, 1
Quantum, 7, 9
Weak, 8, 9
Pseudo, 8, 2
True, 8, 1
Quantum, 8, 4
Weak, 9, 5
Pseudo, 9, 2
True, 9, 1
Quantum, 9, 4
Weak, 10, 4
Pseudo, 10, 8
True, 10, 6
Quantum, 10, 8
