generator, trial number, number
Weak, 1, 2
Pseudo, 1, 2
True, 1, 7
Quantum, 1, 4
Weak, 2, 2
Pseudo, 2, 5
True, 2, 6
Quantum, 2, 9
Weak, 3, 5
Pseudo, 3, 8
True, 3, 7
Quantum, 3, 8
Weak, 4, 10
Pseudo, 4, 7
True, 4, 2
Quantum, 4, 5
Weak, 5, 8
Pseudo, 5, 7
True, 5, 8
Quantum, 5, 9
Weak, 6, 4
Pseudo, 6, 2
True, 6, 1
Quantum, 6, 4
Weak, 7, 3
Pseudo, 7, 1
True, 7, 3
Quantum, 7, 1
Weak, 8, 6
Pseudo, 8, 9
True, 8, 6
Quantum, 8, 1
Weak, 9, 6
Pseudo, 9, 7
True, 9, 1
Quantum, 9, 8
Weak, 10, 4
Pseudo, 10, 4
True, 10, 10
Quantum, 10, 10
