generator, trial number, number
Weak, 1, 8
Pseudo, 1, 2
True, 1, 2
Quantum, 1, 8
Weak, 2, 9
Pseudo, 2, 6
True, 2, 8
Quantum, 2, 10
Weak, 3, 3
Pseudo, 3, 9
True, 3, 1
Quantum, 3, 10
Weak, 4, 9
Pseudo, 4, 3
True, 4, 6
Quantum, 4, 10
Weak, 5, 6
Pseudo, 5, 5
True, 5, 2
Quantum, 5, 5
Weak, 6, 6
Pseudo, 6, 8
True, 6, 4
Quantum, 6, 10
Weak, 7, 7
Pseudo, 7, 7
True, 7, 5
Quantum, 7, 8
Weak, 8, 9
Pseudo, 8, 4
True, 8, 10
Quantum, 8, 7
Weak, 9, 7
Pseudo, 9, 5
True, 9, 3
Quantum, 9, 7
Weak, 10, 4
Pseudo, 10, 4
True, 10, 10
Quantum, 10, 8
