generator, trial number, number
Weak, 1, 4
Pseudo, 1, 4
True, 1, 4
Quantum, 1, 8
Weak, 2, 9
Pseudo, 2, 7
True, 2, 1
Quantum, 2, 9
Weak, 3, 5
Pseudo, 3, 6
True, 3, 6
Quantum, 3, 7
Weak, 4, 5
Pseudo, 4, 5
True, 4, 9
Quantum, 4, 2
Weak, 5, 2
Pseudo, 5, 6
True, 5, 9
Quantum, 5, 8
Weak, 6, 2
Pseudo, 6, 2
True, 6, 4
Quantum, 6, 7
Weak, 7, 4
Pseudo, 7, 4
True, 7, 10
Quantum, 7, 1
Weak, 8, 2
Pseudo, 8, 1
True, 8, 2
Quantum, 8, 6
Weak, 9, 2
Pseudo, 9, 1
True, 9, 8
Quantum, 9, 8
Weak, 10, 10
Pseudo, 10, 4
True, 10, 10
Quantum, 10, 2
