generator, trial number, number
Weak, 1, 4
Pseudo, 1, 4
True, 1, 1
Quantum, 1, 1
Weak, 2, 4
Pseudo, 2, 7
True, 2, 7
Quantum, 2, 9
Weak, 3, 6
Pseudo, 3, 7
True, 3, 7
Quantum, 3, 7
Weak, 4, 5
Pseudo, 4, 4
True, 4, 9
Quantum, 4, 1
Weak, 5, 6
Pseudo, 5, 4
True, 5, 8
Quantum, 5, 1
Weak, 6, 7
Pseudo, 6, 7
True, 6, 8
Quantum, 6, 9
Weak, 7, 5
Pseudo, 7, 9
True, 7, 7
Quantum, 7, 5
Weak, 8, 1
Pseudo, 8, 7
True, 8, 2
Quantum, 8, 8
Weak, 9, 3
Pseudo, 9, 9
True, 9, 2
Quantum, 9, 7
Weak, 10, 10
Pseudo, 10, 5
True, 10, 10
Quantum, 10, 10
