generator, trial number, number
Weak, 1, 6
Pseudo, 1, 4
True, 1, 2
Quantum, 1, 6
Weak, 2, 2
Pseudo, 2, 5
True, 2, 9
Quantum, 2, 7
Weak, 3, 6
Pseudo, 3, 6
True, 3, 2
Quantum, 3, 3
Weak, 4, 2
Pseudo, 4, 5
True, 4, 4
Quantum, 4, 8
Weak, 5, 1
Pseudo, 5, 4
True, 5, 3
Quantum, 5, 2
Weak, 6, 8
Pseudo, 6, 3
True, 6, 7
Quantum, 6, 10
Weak, 7, 3
Pseudo, 7, 8
True, 7, 8
Quantum, 7, 8
Weak, 8, 2
Pseudo, 8, 1
True, 8, 1
Quantum, 8, 7
Weak, 9, 3
Pseudo, 9, 8
True, 9, 1
Quantum, 9, 6
Weak, 10, 7
Pseudo, 10, 7
True, 10, 6
Quantum, 10, 7
